YearsCode,Gender,Julia,Education,Age,Rust,SQL,R,YearsCodeProfessional,Python,C,LISP,Blockchain,Clojure,Sexuality,SalaryUSD,Java,Ethnicity,Cplusplus,Background,JavaScript,HTML_CSS
7,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,3,yes,no,no,Favorable,no,Straight / Heterosexual,110000,yes,White,no,I am a developer by profession,no,no
5,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,5,no,no,no,Unfavorable,no,Gay or Lesbian,98000,no,White,no,I am a developer by profession,yes,yes
26,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,no,yes,no,24,yes,no,no,Indifferent,no,Straight / Heterosexual,144000,no,White,no,I am a developer by profession,yes,no
6,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,1,no,no,no,Favorable,no,Straight / Heterosexual,132000,yes,White,yes,I am a developer by profession,yes,no
4,Woman,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,0,yes,yes,no,Unfavorable,no,Gay or Lesbian,130000,no,Asian,no,I am a developer by profession,no,no
25,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,no,no,no,15,no,yes,no,Unfavorable,no,Straight / Heterosexual,200000,yes,White,yes,"I am not primarily a developer, but I write code sometimes as part of my work",no,no
14,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,no,no,3,no,no,no,Very unfavorable,yes,Straight / Heterosexual,110000,yes,White,no,I am a developer by profession,no,no
15,Man,no,"Associate degree (A.A., A.S., etc.)",25-34 years old,no,no,no,10,no,no,no,Indifferent,no,Straight / Heterosexual,120000,no,White,no,I am a developer by profession,yes,no
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,5,yes,yes,no,Unfavorable,no,Straight / Heterosexual,75000,no,White,no,I am a developer by profession,yes,no
20,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,yes,no,14,no,no,no,Very unfavorable,no,Straight / Heterosexual,147000,no,White,yes,I am a developer by profession,yes,yes
19,Woman,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,yes,no,14,no,no,no,Unfavorable,no,Straight / Heterosexual,101000,no,White,no,I am a developer by profession,no,no
9,Man,no,"Associate degree (A.A., A.S., etc.)",35-44 years old,no,yes,no,9,yes,no,no,Very favorable,no,Straight / Heterosexual,120000,no,White,no,I am a developer by profession,yes,yes
8,Woman,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,4,no,no,no,Favorable,no,Straight / Heterosexual,175000,no,Hispanic or Latino/a,no,I am a developer by profession,yes,yes
48,Man,no,Some college/university study without earning a degree,65 years or older,no,yes,no,46,yes,no,no,Very unfavorable,no,Straight / Heterosexual,100000,no,North American,no,I am a developer by profession,no,yes
9,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,5,yes,no,no,Very unfavorable,no,Straight / Heterosexual,75000,no,White,no,I am a developer by profession,yes,yes
26,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,yes,no,22,no,no,no,Unfavorable,no,Straight / Heterosexual,250000,no,White,yes,I am a developer by profession,yes,yes
24,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,no,no,18,yes,no,no,Very unfavorable,no,Straight / Heterosexual,315000,yes,White,yes,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,3,yes,yes,no,Unfavorable,no,Straight / Heterosexual,150000,no,White,no,I am a developer by profession,yes,no
7,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,3,yes,no,no,Unfavorable,no,Straight / Heterosexual,83000,no,North American,no,I am a developer by profession,yes,yes
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,1,yes,no,no,Indifferent,no,Straight / Heterosexual,155000,no,White,no,I am a developer by profession,yes,yes
20,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,no,no,10,yes,no,no,Very unfavorable,no,Straight / Heterosexual,206000,no,White,no,I am a developer by profession,yes,yes
3,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,no,no,3,no,no,no,Unfavorable,no,Straight / Heterosexual,45000,no,White,no,I am a developer by profession,yes,yes
5,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,2,yes,no,no,Very unfavorable,no,Gay or Lesbian,130000,no,White,no,I am a developer by profession,no,no
18,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,yes,no,12,no,no,no,Indifferent,no,Straight / Heterosexual,155000,no,White,no,I am a developer by profession,no,no
11,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,4,yes,no,no,Very unfavorable,no,Bisexual,130000,no,White,no,I am a developer by profession,no,no
5,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,no,no,1,yes,no,no,Indifferent,no,Straight / Heterosexual,80000,no,White,yes,I am a developer by profession,yes,no
14,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,4,yes,no,no,Unfavorable,no,Straight / Heterosexual,240000,yes,White,no,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,7,yes,no,no,Indifferent,no,Straight / Heterosexual,75000,yes,White,no,I am a developer by profession,yes,yes
4,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,no,no,3,no,no,no,Very unfavorable,no,Straight / Heterosexual,120000,no,White,no,I am a developer by profession,no,no
17,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,11,yes,no,no,Very favorable,no,Bisexual,150000,yes,White,yes,I am a developer by profession,yes,yes
14,Man,no,Some college/university study without earning a degree,35-44 years old,no,yes,no,14,yes,no,no,Very unfavorable,no,Straight / Heterosexual,120000,yes,White,no,I am a developer by profession,yes,no
26,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,no,no,20,no,no,no,Favorable,no,Straight / Heterosexual,210000,yes,Indian,no,I am a developer by profession,no,no
50,Man,no,"Other doctoral degree (Ph.D., Ed.D., etc.)",65 years or older,no,yes,no,40,yes,no,no,Indifferent,no,Straight / Heterosexual,350000,yes,White,no,I am a developer by profession,no,no
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,4,yes,no,no,Unfavorable,no,Straight / Heterosexual,109000,no,White,no,I am a developer by profession,no,no
7,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,5,yes,no,no,Unfavorable,no,Straight / Heterosexual,100000,no,White,no,I am a developer by profession,no,no
10,Man,no,Some college/university study without earning a degree,18-24 years old,yes,yes,no,2,no,no,no,Unfavorable,no,Straight / Heterosexual,52800,no,White,no,I am a developer by profession,yes,yes
12,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,9,no,no,no,Indifferent,no,Straight / Heterosexual,124000,yes,White,no,I am a developer by profession,yes,no
24,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,yes,yes,no,20,no,no,no,Unfavorable,no,Straight / Heterosexual,205000,no,White,no,I am a developer by profession,yes,yes
7,Man,no,Some college/university study without earning a degree,18-24 years old,yes,no,no,4,yes,yes,yes,Very unfavorable,no,Straight / Heterosexual,100000,no,White,yes,I am a developer by profession,no,no
5,"Non-binary, genderqueer, or gender non-conforming",no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,1,yes,yes,no,Indifferent,no,Gay or Lesbian,76000,yes,White,yes,I am a developer by profession,yes,yes
11,Man,no,"Associate degree (A.A., A.S., etc.)",18-24 years old,yes,no,no,8,yes,no,no,Favorable,no,Straight / Heterosexual,200000,no,North American,no,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,5,yes,no,no,Very unfavorable,no,Straight / Heterosexual,165000,no,White,no,I am a developer by profession,yes,no
13,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,9,no,no,no,Very unfavorable,no,Straight / Heterosexual,350000,no,White,no,I am a developer by profession,yes,yes
6,Man,no,Some college/university study without earning a degree,18-24 years old,yes,no,no,0,yes,yes,yes,Indifferent,no,Straight / Heterosexual,160000,yes,Asian,yes,I am a developer by profession,yes,no
11,Man,no,"Associate degree (A.A., A.S., etc.)",25-34 years old,yes,yes,no,6,no,no,no,Very favorable,yes,Straight / Heterosexual,80000,no,White,no,I am a developer by profession,yes,yes
3,Man,no,Some college/university study without earning a degree,25-34 years old,no,no,no,1,no,no,no,Unfavorable,no,Straight / Heterosexual,55000,no,White,no,I am a developer by profession,yes,yes
11,Man,no,"Other doctoral degree (Ph.D., Ed.D., etc.)",25-34 years old,no,yes,no,5,yes,no,no,Unfavorable,no,Straight / Heterosexual,90000,no,White,no,I am a developer by profession,yes,yes
10,Man,no,Some college/university study without earning a degree,18-24 years old,no,no,no,1,yes,no,no,Favorable,no,Bisexual,75000,no,White,yes,I am a developer by profession,yes,yes
9,Man,no,Some college/university study without earning a degree,25-34 years old,no,yes,no,8,no,no,no,Indifferent,no,Straight / Heterosexual,120000,no,White,no,I am a developer by profession,no,no
8,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,yes,yes,no,6,yes,no,no,Very unfavorable,no,Straight / Heterosexual,140000,no,White,yes,I am a developer by profession,no,yes
28,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,yes,no,no,17,no,no,no,Very unfavorable,no,Straight / Heterosexual,160000,no,White,no,I am a developer by profession,yes,no
8,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,yes,yes,no,5,yes,no,no,Favorable,no,Straight / Heterosexual,110000,yes,White,no,I am a developer by profession,yes,yes
14,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,yes,no,8,yes,no,no,Very unfavorable,no,Straight / Heterosexual,300000,yes,Asian,no,I am a developer by profession,no,no
10,Man,no,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,no,yes,no,4,no,no,no,Very unfavorable,no,Straight / Heterosexual,53000,no,White,no,I am a developer by profession,yes,yes
4,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,3,yes,no,no,Very unfavorable,no,Gay or Lesbian,72000,no,White,no,I am a developer by profession,yes,no
6,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,3,no,no,no,Unfavorable,no,Straight / Heterosexual,50000,no,White,no,I am a developer by profession,no,no
4,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,2,yes,no,no,Very favorable,no,Straight / Heterosexual,70000,no,White,no,I am a developer by profession,yes,yes
4,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,2,no,no,no,Very unfavorable,no,Straight / Heterosexual,171000,yes,White,no,I am a developer by profession,yes,no
22,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,yes,no,14,yes,no,no,Very unfavorable,no,Straight / Heterosexual,86000,yes,White,no,I am a developer by profession,yes,yes
6,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,2,no,no,no,Favorable,no,Straight / Heterosexual,78000,yes,White,no,I am a developer by profession,yes,yes
7,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,1,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,78337,no,White,yes,I am a developer by profession,no,no
15,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,11,yes,no,no,Very unfavorable,no,Straight / Heterosexual,215000,no,White,no,I am a developer by profession,no,no
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,4,yes,no,no,Very unfavorable,no,Straight / Heterosexual,162373,no,White,yes,I am a developer by profession,no,no
6,"Non-binary, genderqueer, or gender non-conforming",no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,1,no,no,no,Very unfavorable,no,Bisexual,55000,no,Hispanic or Latino/a,no,I am a developer by profession,yes,no
31,Man,no,Some college/university study without earning a degree,55-64 years old,yes,yes,no,31,yes,no,no,Indifferent,no,Straight / Heterosexual,200000,yes,White,no,I am a developer by profession,yes,no
18,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,yes,no,18,yes,no,no,Very favorable,no,Straight / Heterosexual,160000,no,White,no,I am a developer by profession,yes,yes
13,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,no,yes,no,2,yes,no,no,Unfavorable,no,Straight / Heterosexual,250000,no,White,no,I am a developer by profession,no,no
12,Woman,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,no,no,4,yes,yes,no,Very unfavorable,no,Queer,82000,no,White,yes,I am a developer by profession,no,no
25,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,no,no,no,25,no,yes,no,Unsure,yes,Straight / Heterosexual,150000,yes,Asian,yes,I am a developer by profession,no,no
14,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,7,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,180000,no,White,yes,I am a developer by profession,yes,no
25,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",55-64 years old,no,yes,no,20,no,yes,no,Unsure,no,Straight / Heterosexual,140000,no,White,no,I am a developer by profession,yes,no
11,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,7,no,no,no,Very unfavorable,no,Straight / Heterosexual,125000,no,White,no,I am a developer by profession,yes,no
12,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,7,yes,no,no,Favorable,no,Straight / Heterosexual,75000,yes,White,no,I am a developer by profession,yes,yes
32,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,yes,no,23,no,no,no,Favorable,no,Straight / Heterosexual,120000,no,White,no,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,6,no,no,no,Indifferent,no,Straight / Heterosexual,120000,yes,Hispanic or Latino/a,no,I am a developer by profession,yes,yes
27,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,no,no,no,25,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,161000,yes,White,yes,I am a developer by profession,no,no
17,Woman,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,yes,no,11,no,no,no,Favorable,no,Straight / Heterosexual,175000,no,Asian,no,I am a developer by profession,no,yes
30,Man,no,Some college/university study without earning a degree,45-54 years old,no,no,no,20,no,no,no,Very unfavorable,yes,Straight / Heterosexual,172000,no,White,no,I am a developer by profession,yes,no
6,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,yes,no,2,yes,no,no,Very unfavorable,no,Straight / Heterosexual,75000,no,White,no,I am a developer by profession,yes,yes
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,5,no,no,no,Favorable,no,Straight / Heterosexual,125000,yes,White,no,I am a developer by profession,yes,yes
5,Man,no,Some college/university study without earning a degree,18-24 years old,yes,no,no,4,no,no,no,Very unfavorable,no,Straight / Heterosexual,85000,yes,White,no,I am a developer by profession,yes,yes
20,Man,no,Some college/university study without earning a degree,35-44 years old,yes,yes,no,6,no,no,no,Very unfavorable,yes,Straight / Heterosexual,120000,no,White,no,I am a developer by profession,yes,yes
13,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,5,yes,no,no,Very unfavorable,no,Straight / Heterosexual,105000,yes,White,yes,I am a developer by profession,no,no
4,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,4,no,no,no,Unfavorable,no,Straight / Heterosexual,120000,no,White,no,I am a developer by profession,yes,no
9,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,yes,no,3,yes,no,no,Very unfavorable,no,Gay or Lesbian,120000,yes,White,no,I am a developer by profession,no,yes
5,Man,no,Some college/university study without earning a degree,35-44 years old,no,no,no,2,no,no,no,Favorable,no,Straight / Heterosexual,115000,no,White,no,I am a developer by profession,no,no
12,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,yes,yes,no,12,yes,no,no,Very unfavorable,no,Straight / Heterosexual,250000,yes,White,no,I am a developer by profession,yes,yes
12,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,6,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,160000,yes,White,no,I am a developer by profession,no,no
21,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,no,no,12,no,no,no,Very unfavorable,no,Straight / Heterosexual,160000,no,Hispanic or Latino/a,no,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,no,no,1,yes,no,no,Very unfavorable,no,Straight / Heterosexual,145,no,White,no,I am a developer by profession,no,no
24,Man,no,Some college/university study without earning a degree,35-44 years old,no,yes,no,13,no,no,no,Indifferent,no,Straight / Heterosexual,88000,yes,White,no,I am a developer by profession,no,yes
25,Man,no,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,no,yes,no,20,no,no,no,Indifferent,yes,Straight / Heterosexual,134000,no,White,no,"I am not primarily a developer, but I write code sometimes as part of my work",yes,yes
7,Man,no,Some college/university study without earning a degree,35-44 years old,no,yes,no,6,no,no,no,Unsure,yes,Straight / Heterosexual,175000,no,White,no,I am a developer by profession,yes,yes
12,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,8,yes,no,no,Very unfavorable,no,Straight / Heterosexual,147000,no,North American,no,I am a developer by profession,yes,yes
13,Man,no,Some college/university study without earning a degree,35-44 years old,yes,no,no,10,no,yes,no,Unfavorable,no,Straight / Heterosexual,165000,no,White,yes,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,8,no,no,no,Unfavorable,no,Straight / Heterosexual,140000,no,White,yes,I am a developer by profession,yes,no
11,Woman,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,7,no,no,no,Unfavorable,no,Bisexual,116000,no,White,no,I am a developer by profession,no,no
12,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,10,yes,no,no,Very unfavorable,no,Straight / Heterosexual,155000,yes,White,yes,I am a developer by profession,yes,yes
9,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,4,no,no,no,Very unfavorable,no,Straight / Heterosexual,61000,no,White,no,I am a developer by profession,no,no
30,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,yes,no,24,no,no,no,Indifferent,no,Straight / Heterosexual,178000,yes,White,yes,I am a developer by profession,yes,no
10,Man,no,"Professional degree (JD, MD, etc.)",35-44 years old,no,no,no,10,no,no,no,Indifferent,yes,Straight / Heterosexual,160000,yes,White,no,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,yes,no,2,no,no,no,Unfavorable,no,Straight / Heterosexual,89000,yes,White,no,I am a developer by profession,yes,yes
3,Man,no,"Associate degree (A.A., A.S., etc.)",18-24 years old,no,no,no,0,no,no,no,Favorable,no,Straight / Heterosexual,50000,no,White,no,I am a developer by profession,yes,yes
27,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,no,no,13,yes,no,no,Unfavorable,no,Straight / Heterosexual,185000,no,White,no,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,6,yes,no,no,Very unfavorable,yes,Straight / Heterosexual,320000,yes,White,no,I am a developer by profession,no,no
9,Man,no,Some college/university study without earning a degree,18-24 years old,no,yes,no,7,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,62500,no,White,yes,I am a developer by profession,yes,no
12,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,yes,no,11,no,no,no,Very favorable,yes,Straight / Heterosexual,180000,no,White,no,I am a developer by profession,yes,yes
12,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,6,yes,no,no,Very unfavorable,no,Straight / Heterosexual,80000,no,White,no,"I am not primarily a developer, but I write code sometimes as part of my work",no,no
5,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,4,yes,no,no,Very unfavorable,no,Straight / Heterosexual,80000,no,Asian,no,I am a developer by profession,yes,no
6,Man,no,Some college/university study without earning a degree,18-24 years old,no,no,no,4,no,no,no,Favorable,yes,Straight / Heterosexual,170000,yes,White,no,I am a developer by profession,yes,yes
5,Man,no,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,yes,no,no,4,yes,no,no,Very unfavorable,no,Straight / Heterosexual,100000,no,White,no,I am a developer by profession,yes,yes
7,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,yes,no,2,yes,yes,no,Indifferent,no,Straight / Heterosexual,165000,yes,White,yes,I am a developer by profession,yes,yes
11,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,7,no,no,no,Indifferent,no,Straight / Heterosexual,250000,no,White,no,I am a developer by profession,no,no
10,Man,no,Some college/university study without earning a degree,25-34 years old,no,no,no,3,no,no,no,Indifferent,no,Straight / Heterosexual,95000,yes,White,yes,I am a developer by profession,yes,no
23,Man,no,"Associate degree (A.A., A.S., etc.)",35-44 years old,no,no,no,9,no,no,no,Unfavorable,no,Straight / Heterosexual,81000,no,White,no,I am a developer by profession,no,no
11,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,no,no,7,yes,yes,no,Favorable,no,Straight / Heterosexual,80000,no,White,yes,I am a developer by profession,yes,yes
9,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,no,yes,no,0,yes,no,no,Very unfavorable,no,Straight / Heterosexual,105000,yes,White,no,I am a developer by profession,yes,yes
20,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,yes,no,no,14,yes,no,no,Indifferent,no,Straight / Heterosexual,195000,no,White,no,I am a developer by profession,yes,no
4,Man,no,"Associate degree (A.A., A.S., etc.)",25-34 years old,no,yes,no,4,yes,no,no,Indifferent,no,Bisexual,181000,no,White,no,I am a developer by profession,yes,no
6,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,3,no,no,no,Very unfavorable,no,Straight / Heterosexual,82000,yes,White,no,I am a developer by profession,yes,yes
9,Man,no,Some college/university study without earning a degree,25-34 years old,yes,no,no,9,yes,no,no,Unfavorable,no,Bisexual,180000,no,White,no,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,yes,yes,no,8,yes,yes,no,Unfavorable,no,Straight / Heterosexual,230000,yes,White,yes,I am a developer by profession,yes,no
3,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,no,no,3,no,no,no,Unfavorable,no,Straight / Heterosexual,204000,no,White,no,I am a developer by profession,yes,no
11,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,yes,no,7,yes,no,no,Very unfavorable,yes,Straight / Heterosexual,236000,no,White,no,I am a developer by profession,no,no
25,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,yes,no,20,no,no,no,Unfavorable,no,Straight / Heterosexual,112000,yes,White,no,I am a developer by profession,yes,no
